epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,168.69,1.19953,0.51966,0.00721,0.61995,0.6373,0.5435,0.26515,1.98859,1.24109,0.01948,0.00154876,0.00154876,0.00154876
144,169.794,1.15048,0.4583,0.00668,0.60704,0.62015,0.52977,0.24836,1.94391,1.41673,0.01882,0.00154793,0.00154793,0.00154793
145,171.008,1.25854,0.57135,0.00866,0.62763,0.58149,0.49602,0.23165,2.06109,1.39037,0.021,0.0015471,0.0015471,0.0015471
146,172.312,1.21631,0.52184,0.00845,0.61664,0.60952,0.54821,0.25826,1.95866,1.30202,0.01884,0.00154626,0.00154626,0.00154626
147,173.521,1.28975,0.53706,0.00943,0.61718,0.62381,0.61751,0.33169,1.83573,1.27095,0.01716,0.00154543,0.00154543,0.00154543
148,174.699,1.30832,0.58695,0.01331,0.72422,0.6381,0.67353,0.36012,1.82427,1.17548,0.01768,0.0015446,0.0015446,0.0015446
149,175.83,1.24347,0.50357,0.00845,0.71375,0.69365,0.69903,0.38273,1.82462,1.15602,0.01722,0.00154377,0.00154377,0.00154377
150,177.015,1.26254,0.49132,0.00877,0.81592,0.69365,0.70865,0.36631,1.8744,1.17813,0.01732,0.00154293,0.00154293,0.00154293
151,178.166,1.28824,0.48936,0.0114,0.71944,0.70459,0.67917,0.35412,1.92579,1.16441,0.01806,0.0015421,0.0015421,0.0015421
152,179.377,1.24729,0.567,0.0074,0.70768,0.70794,0.66001,0.35996,1.86376,1.18192,0.01693,0.00154127,0.00154127,0.00154127
153,180.584,1.26012,0.55809,0.00803,0.6974,0.72143,0.67726,0.36669,1.8529,1.05535,0.01737,0.00154043,0.00154043,0.00154043
154,181.792,1.23151,0.46673,0.00804,0.73901,0.6396,0.67271,0.36006,1.85728,1.13023,0.01832,0.0015396,0.0015396,0.0015396
155,182.945,1.14843,0.50821,0.00925,0.65508,0.65159,0.63332,0.32559,1.87857,1.21784,0.01817,0.00153877,0.00153877,0.00153877
156,184.113,1.12598,0.47384,0.00929,0.74445,0.58175,0.61663,0.31661,1.95598,1.191,0.01918,0.00153794,0.00153794,0.00153794
157,185.262,1.21671,0.45195,0.00794,0.61749,0.60727,0.58347,0.29844,1.94841,1.21577,0.0193,0.0015371,0.0015371,0.0015371
158,186.424,1.24665,0.48306,0.00727,0.61021,0.66587,0.59403,0.28965,1.94545,1.14358,0.02061,0.00153627,0.00153627,0.00153627
159,187.569,1.24293,0.53365,0.00783,0.67548,0.66587,0.60995,0.28863,1.92511,1.18881,0.02108,0.00153544,0.00153544,0.00153544
160,188.725,1.17297,0.4488,0.00737,0.62172,0.67937,0.59365,0.2877,1.96826,1.17114,0.0201,0.00153461,0.00153461,0.00153461
161,189.888,1.20648,0.47395,0.00707,0.64867,0.62321,0.60138,0.30017,1.94775,1.237,0.02045,0.00153377,0.00153377,0.00153377
162,191.034,1.23236,0.45042,0.01012,0.6833,0.62505,0.61548,0.31382,1.93048,1.19983,0.01973,0.00153294,0.00153294,0.00153294
163,192.18,1.28273,0.55998,0.01074,0.64533,0.70714,0.62039,0.3091,1.97378,1.17237,0.01925,0.00153211,0.00153211,0.00153211
164,193.318,1.28541,0.42585,0.00832,0.60906,0.7627,0.60729,0.26175,2.10114,1.2049,0.02018,0.00153128,0.00153128,0.00153128
165,194.458,1.27702,0.50409,0.0092,0.49617,0.67857,0.53761,0.23542,2.17792,1.25587,0.02054,0.00153044,0.00153044,0.00153044
166,195.607,1.27665,0.48602,0.00802,0.44642,0.72338,0.5695,0.25536,2.06537,1.38392,0.01892,0.00152961,0.00152961,0.00152961
167,196.728,1.30708,0.50851,0.00995,0.63607,0.60952,0.6163,0.28765,2.02486,1.2843,0.0184,0.00152878,0.00152878,0.00152878
168,197.87,1.16288,0.39527,0.00836,0.68034,0.58095,0.60923,0.29089,2.03785,1.25755,0.01805,0.00152794,0.00152794,0.00152794
169,199.018,1.15191,0.47524,0.00843,0.62479,0.60952,0.57464,0.28079,2.059,1.17592,0.01927,0.00152711,0.00152711,0.00152711
170,200.176,1.01892,0.41748,0.00718,0.60345,0.63637,0.59191,0.29353,1.94687,1.25265,0.01876,0.00152628,0.00152628,0.00152628
171,201.323,1.24501,0.48177,0.00833,0.75201,0.66508,0.6152,0.32064,1.92796,1.24916,0.01901,0.00152545,0.00152545,0.00152545
172,202.477,1.16821,0.52789,0.00627,0.75025,0.63651,0.6267,0.34247,1.92719,1.28535,0.01916,0.00152461,0.00152461,0.00152461
173,203.669,1.23314,0.46552,0.00656,0.7711,0.66387,0.65216,0.34267,1.94802,1.26338,0.01834,0.00152378,0.00152378,0.00152378
174,204.877,1.23976,0.50648,0.00713,0.7227,0.67647,0.65931,0.34197,1.86542,1.2584,0.01648,0.00152295,0.00152295,0.00152295
175,206.069,1.09495,0.37051,0.00667,0.70896,0.63651,0.60065,0.31431,1.90714,1.2521,0.01745,0.00152212,0.00152212,0.00152212
176,207.272,1.20331,0.44118,0.00659,0.67052,0.53889,0.58161,0.29129,1.93648,1.32918,0.01836,0.00152128,0.00152128,0.00152128
177,208.491,1.07557,0.49003,0.00652,0.53687,0.57649,0.56737,0.27624,1.99779,1.4633,0.02012,0.00152045,0.00152045,0.00152045
178,209.675,1.12701,0.48656,0.00831,0.49712,0.70714,0.57684,0.28495,1.97235,1.45344,0.02037,0.00151962,0.00151962,0.00151962
